Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Let 'er Buck","Donnelly Canyon > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105718456/let-er-buck,3.8,-1,Sport,5.12b,1,100,38.0398,-109.5436
Tasmania,"Cat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106116829/tasmania,4.0,-1,"Trad, Sport",5.12+,1,50,38.09105,-109.56274
"The Platypus","Cat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/123476362/the-platypus,4.0,-1,Sport,5.12+,1,110,38.09105,-109.56274
"Low Fang","Broken Tooth > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/113704194/low-fang,4.0,-1,Sport,5.12+,1,,38.10072,-109.56618
"Putterman's Nub","House Of Putterman > Tusher Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/107375620/puttermans-nub,1.6,-1,Sport,5.12,1,25,38.68879,-109.767
"Chalk is Cheap","Deadman's Buttress > Long Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106606836/chalk-is-cheap,3.0,-1,"Trad, Sport",5.12-,2,200,38.54832,-109.66055
"Direct Start to Happy Hunting Grounds","Warrior Tower > Long Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106604741/direct-start-to-happy-hunting-grounds,3.0,-1,"Trad, Sport",5.12,1,80,38.5388,-109.677
"Dark Horse","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105718330/dark-horse,3.1,-1,Sport,5.12-,1,70,38.54668,-109.59959
Uncertain,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112857173/uncertain,2.4,-1,Sport,5.12-,1,50,38.54668,-109.59959
"Take A Chance On Me","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112797882/take-a-chance-on-me,3.1,-1,Sport,5.12b,1,35,38.54668,-109.59959
"I Love Loosey","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105943160/i-love-loosey,2.4,-1,Sport,5.12b,1,60,38.54668,-109.59959
"El Face-o Diablo","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106564662/el-face-o-diablo,1.1,-1,"Sport, TR",5.12b,1,25,38.54668,-109.59959
"Room With A View (free)","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107557785/room-with-a-view-free,3.0,-1,Sport,"5.12b PG13",1,70,38.54668,-109.59959
Desp-Arete,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108353525/desp-arete,2.8,-1,Sport,"5.12b PG13",1,50,38.54668,-109.59959
"Rhino Might","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110277575/rhino-might,2.8,-1,Sport,5.12,1,65,38.54668,-109.59959
"Under the Boardwalk","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107892079/under-the-boardwalk,3.8,-1,Sport,5.12c,1,60,38.54668,-109.59959
Armageddon,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112557529/armageddon,3.0,-1,Sport,5.12+,1,60,38.54668,-109.59959
"Horizontal Mambo","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107304086/horizontal-mambo,3.6,-1,"Trad, Sport",5.12d,1,80,38.54668,-109.59959
"Buzz Lust","Bootleg Tower > Day Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106311346/buzz-lust,2.4,-1,Sport,5.12b,1,90,38.56973,-109.66167
Staph,"The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427947/staph,2.0,-1,Sport,5.12b/c,1,45,38.57016,-109.58106
"The Zipper","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427932/the-zipper,2.7,-1,Sport,5.12c,1,45,38.57016,-109.58106
"The Butterfly","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427953/the-butterfly,3.2,-1,Sport,5.13a,1,70,38.57016,-109.58106
"Extended Care","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427959/extended-care,3.7,-1,Sport,5.13a,1,70,38.57016,-109.58106
"Knee Scar","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/111747969/knee-scar,3.0,-1,Sport,5.13a,1,45,38.57016,-109.58106
"Hot Popsicle","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/118702372/hot-popsicle,3.5,-1,Sport,5.13a/b,1,70,38.57016,-109.58106
Propulsion,"Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/111800709/propulsion,3.5,-1,Sport,5.12a/b,1,65,38.5714,-109.5815
Excommunication,"The Priest > Castle Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/105718708/excommunication,4.0,-1,"Trad, Sport",5.13a,5,380,38.6588,-109.3691
"Out Damned Spot!","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/118042705/out-damned-spot,2.9,-1,Sport,5.12b,1,70,38.66113,-109.4994
T-Rex,"Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106596078/t-rex,3.4,-1,"Trad, Sport","5.12- PG13",4,350,38.5092,-109.5995
"Kura Buran","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105884216/kura-buran,3.0,-1,Sport,5.12,1,110,38.5092,-109.5995
"Planet Caravan","Pinky Tower > Little Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/106944149/planet-caravan,3.0,-1,Sport,5.12,1,70,38.61548,-109.66944
"Outside Traverse","Crackhouse > Southeast Utah > Utah",https://www.mountainproject.com/route/112498027/outside-traverse,3.6,-1,"Sport, Boulder","5.12- V4",1,45,38.58924,-109.69932
"Small Two aka Buy or Fly","Small Adventures Wall / 313 Slabs > State Highway 313 > Southeast Utah > Utah",https://www.mountainproject.com/route/112836716/small-two-aka-buy-or-fly,-1.0,-1,Sport,5.12,1,100,38.65324,-109.7204
Inferno,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/111002436/inferno,2.9,-1,Sport,5.12-,1,70,38.49691,-109.31021
"Techno Christ","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/105718318/techno-christ,3.7,-1,Sport,5.12c,1,70,38.49691,-109.31021
"Flaming Groovy","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/105718321/flaming-groovy,3.8,-1,Sport,5.12c,1,50,38.49691,-109.31021
"The Sinister","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106280282/the-sinister,3.1,-1,Sport,"5.12c PG13",1,70,38.49691,-109.31021
Scavenger,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106280276/scavenger,3.5,-1,Sport,5.12c/d,1,60,38.49691,-109.31021
"Crush the Skull","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106862446/crush-the-skull,4.0,-1,Sport,5.12d,1,80,38.49691,-109.31021
"The Buzzcut","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107296072/the-buzzcut,3.8,-1,Sport,5.12d,1,70,38.49691,-109.31021
Bowsprit,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106426411/bowsprit,3.6,-1,Sport,5.13a,1,90,38.49691,-109.31021
"Jolly Roger","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107161584/jolly-roger,4.0,-1,Sport,5.13a,1,75,38.49691,-109.31021
Mossacre,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112876877/mossacre,4.0,-1,Sport,5.13a,1,80,38.49691,-109.31021
"Wave of Mutilation","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/124963292/wave-of-mutilation,3.0,-1,Sport,5.13a,1,70,38.49691,-109.31021
"Mossacre Direct","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112876888/mossacre-direct,4.0,-1,Sport,5.13b,1,80,38.49691,-109.31021
"Mickey Mantle","Horse Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112001349/mickey-mantle,3.8,-1,Sport,5.12a/b,1,60,38.47684,-109.38133
Rotpunkt,"Horse Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/118072985/rotpunkt,3.2,-1,Sport,5.12c/d,1,70,38.47684,-109.38133
"Reckon So","Horse Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/105718339/reckon-so,3.6,-1,Sport,5.12d,1,70,38.47684,-109.38133
Animal,"The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/120738050/animal,4.0,-1,Sport,5.13a/b,1,80,38.49649,-109.31053
Aesthetics,"The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107069340/aesthetics,4.0,-1,Sport,5.13b,1,85,38.49649,-109.31053
Sepultura,"Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/105718336/sepultura,3.2,-1,"Trad, Sport","5.12b R",1,120,38.49974,-109.30695
"diente de perro","Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/111866441/diente-de-perro,3.0,-1,Sport,5.12,1,97,38.49974,-109.30695
"Sexy Beast","Lower Mill Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/108674028/sexy-beast,3.9,-1,Sport,5.12,3,400,38.47684,-109.38133
"The Paper Crane","Lower Mill Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106468916/the-paper-crane,3.7,-1,Sport,5.13a,1,140,38.47684,-109.38133
"Dog on a Stone Roof","Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794682/dog-on-a-stone-roof,2.0,-1,Sport,5.12,1,,38.47194,-109.28026
"Alpha Blondy","Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794025/alpha-blondy,2.8,-1,Sport,5.12-,1,100,38.47028,-109.27448
Roofus,"Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794245/roofus,2.0,-1,Sport,5.12a/b,1,,38.47028,-109.27448
"Nothing Circumstantial","Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794061/nothing-circumstantial,3.0,-1,Sport,5.12b,1,80,38.47028,-109.27448
Nelson,"The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117558905/nelson,2.5,-1,Sport,5.12b,1,60,40.44666,-111.68668
"Between The Lines","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107714997/between-the-lines,3.5,-1,Sport,5.12b/c,1,70,40.44666,-111.68668
"Flight Fright","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106527275/flight-fright,2.2,-1,Sport,5.12c,1,65,40.44666,-111.68668
"Flight Fright direct","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117643799/flight-fright-direct,2.8,-1,Sport,5.12c,1,65,40.44666,-111.68668
"Dad Dick","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111859764/dad-dick,2.3,-1,Sport,5.12d,1,45,40.44666,-111.68668
"The Membrane Roof","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111056261/the-membrane-roof,2.4,-1,Sport,5.13a,1,40,40.44666,-111.68668
"Plasma Membrane","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/119391008/plasma-membrane,1.7,-1,Sport,5.13-,1,30,40.44666,-111.68668
Abysmal,"Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/124585011/abysmal,3.0,-1,Sport,5.12b,1,40,40.4503,-111.668
"Secret Weapon","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109099165/secret-weapon,2.8,-1,Sport,5.12b,1,90,40.4503,-111.668
"Isotoner Moaner","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739958/isotoner-moaner,3.6,-1,Sport,5.12b,1,,40.4503,-111.668
"Liquid Nitrogen","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/114405567/liquid-nitrogen,2.5,-1,Sport,5.12c,1,40,40.4503,-111.668
"The Abyss","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106122847/the-abyss,3.2,-1,Sport,5.12c/d,1,,40.4503,-111.668
Helix,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741944/helix,3.5,-1,Sport,5.12b,1,50,40.44472,-111.69582
Tulsa,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110736793/tulsa,2.0,-1,Sport,5.12b,1,,40.44472,-111.69582
"Orogeny Extension","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/113359446/orogeny-extension,3.6,-1,Sport,5.12b,1,,40.44472,-111.69582
"Helix direct","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112313756/helix-direct,3.0,-1,Sport,5.12b/c,1,,40.44472,-111.69582
Helixor,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112313778/helixor,2.7,-1,Sport,5.12c,1,,40.44472,-111.69582
"Problem Child","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741953/problem-child,3.5,-1,Sport,5.12c,1,50,40.44472,-111.69582
"Chalk On The Trigger","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107307846/chalk-on-the-trigger,3.5,-1,Sport,5.12c,1,65,40.44472,-111.69582
Ouija,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112313719/ouija,2.5,-1,Sport,5.12+,1,,40.44472,-111.69582
"Lock and Load","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107307839/lock-and-load,2.8,-1,Sport,5.12c/d,1,90,40.44472,-111.69582
"Climb Interrupted","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107307855/climb-interrupted,3.0,-1,Sport,5.12d,1,70,40.44472,-111.69582
"True Lies","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110736799/true-lies,2.3,-1,Sport,5.12d,1,,40.44472,-111.69582
"Black Magic","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106772092/black-magic,3.7,-1,Sport,5.12d,1,50,40.44472,-111.69582
Hexed,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112313800/hexed,3.0,-1,Sport,5.13a,1,,40.44472,-111.69582
Rhinoplasty,"White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108390242/rhinoplasty,3.3,-1,Sport,5.12c,1,,40.4507,-111.6711
"Knuckle Up","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106600002/knuckle-up,3.5,-1,Sport,5.12d,1,70,40.4507,-111.6711
"Naked Knuckle","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107222525/naked-knuckle,3.6,-1,Sport,5.13a,1,70,40.4507,-111.6711
"Punch The Clock (Roof)","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111047634/punch-the-clock-roof,2.7,-1,Sport,5.12a/b,1,70,40.4507,-111.6717
"Juggernaut Roof","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105837872/juggernaut-roof,3.5,-1,Sport,5.12b,1,70,40.4507,-111.6717
Dreadlocks,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107630182/dreadlocks,3.1,-1,Sport,5.12b,1,90,40.4507,-111.6717
Beehive,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106230695/beehive,3.0,-1,Sport,5.12,1,,40.4507,-111.6717
"Chalkless and Discontent","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/119568132/chalkless-and-discontent,2.0,-1,Sport,5.13a,1,40,40.4507,-111.6717
"Merciless Onslaught","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106516663/merciless-onslaught,3.1,-1,Sport,5.12b,1,45,40.44647,-111.68747
"Something Wild","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107830783/something-wild,3.5,-1,Sport,5.12d,1,,40.44647,-111.68747
Teardrop,"Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106574005/teardrop,3.3,-1,Sport,5.13a,1,60,40.44647,-111.68747
Underdog,"Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106918003/underdog,3.8,-1,Sport,5.13a,1,60,40.44647,-111.68747
"Jug Abuse","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517580/jug-abuse,3.8,-1,Sport,5.13b,1,50,40.44647,-111.68747
Wilderness,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106518121/wilderness,2.9,-1,Sport,5.12b,1,35,40.44649,-111.68579
Isolation,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106518115/isolation,3.7,-1,Sport,5.12c,1,35,40.44649,-111.68579
Siberia,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106518108/siberia,3.6,-1,Sport,5.12d,1,35,40.44649,-111.68579
"Pig Pen","Little Mill Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106425103/pig-pen,3.6,-1,Sport,5.12a/b,1,40,40.4493,-111.6726
Woodstock,"Little Mill Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107683393/woodstock,2.6,-1,Sport,5.12b,1,40,40.4493,-111.6726
"Lip Service","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117686443/lip-service,2.6,-1,Sport,5.12b,1,45,40.44548,-111.69298
"The Castle Aaaaargh","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118014471/the-castle-aaaaargh,3.0,-1,Sport,5.12b/c,4,400,40.44548,-111.69298
"American Fork Canyon Memorial Route","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118015035/american-fork-canyon-memorial-route,2.8,-1,Sport,5.12b/c,1,70,40.44548,-111.69298
"The Pitching Wedge","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108936668/the-pitching-wedge,2.3,-1,Sport,5.12-,1,50,40.4462,-111.6958
Spinoza,"The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/113844405/spinoza,2.6,-1,Sport,5.12b,1,50,40.4462,-111.6958
"Let's Pretend","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117559292/lets-pretend,3.0,-1,Sport,5.12b/c,1,40,40.4462,-111.6958
Pist,"The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121125535/pist,2.5,-1,Sport,5.12d,1,,40.4462,-111.6958
"To Kill A Chalkingbird","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108936687/to-kill-a-chalkingbird,3.6,-1,Sport,5.12d,1,50,40.4462,-111.6958
Decades,"The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108936703/decades,3.0,-1,Sport,5.13b,1,50,40.4462,-111.6958
"Mass Wasting","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108936731/mass-wasting,4.0,-1,Sport,5.13b,1,50,40.4462,-111.6958
"Crank it or Yank it.","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/119710235/crank-it-or-yank-it,2.0,-1,Sport,5.12b,1,55,40.4451,-111.6911
"Face Up","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121187629/face-up,3.0,-1,Sport,5.12b,1,60,40.4451,-111.6911
"Strangle Hold","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110634852/strangle-hold,2.8,-1,Sport,5.12b,1,65,40.4451,-111.6911
"Golden Feat","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110637208/golden-feat,2.8,-1,Sport,5.12b,1,65,40.4451,-111.6911
"Your Onus","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107209369/your-onus,2.6,-1,Sport,5.12b,1,65,40.4451,-111.6911
"Still Too Bleak","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/123236548/still-too-bleak,3.5,-1,Sport,5.12c,1,80,40.4451,-111.6911
Macedonia,"Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109349253/macedonia,3.6,-1,Sport,5.12c,1,80,40.4451,-111.6911
"Ogga Booga","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/124903144/ogga-booga,3.5,-1,Sport,5.12d,1,60,40.4451,-111.6911
"Trash Kicker","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110772119/trash-kicker,3.4,-1,Sport,5.12d,2,115,40.4451,-111.6911
Grumpkin,"Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109504930/grumpkin,2.5,-1,Sport,5.13a,1,80,40.4451,-111.6911
"Wango Tango","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/120753994/wango-tango,3.4,-1,Sport,5.13a,1,110,40.4451,-111.6911
"The Vision","Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110804462/the-vision,2.9,-1,Sport,5.12c,1,,40.4469,-111.6881
"Zorba the Greek","Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110917082/zorba-the-greek,3.2,-1,Sport,5.12c,1,50,40.4469,-111.6881
Insomnia,"Sleepy Cove > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117329069/insomnia,2.8,-1,Sport,5.12c,1,40,40.45087,-111.6875
"The Tuba","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517445/the-tuba,2.5,-1,Sport,5.12b,1,45,40.4461,-111.6859
"Kodak Courage","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517451/kodak-courage,2.6,-1,Sport,5.12b,1,45,40.4461,-111.6859
Slopbuckets,"Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517474/slopbuckets,1.8,-1,Sport,5.12b,1,45,40.4461,-111.6859
"If I Only Had a Brain","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517571/if-i-only-had-a-brain,3.7,-1,Sport,5.12b,1,65,40.4461,-111.6859
"Princess Di","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517469/princess-di,3.6,-1,Sport,5.12c,1,45,40.4461,-111.6859
"40 oz to Freedom","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106530742/40-oz-to-freedom,3.7,-1,Sport,5.12c,1,90,40.4461,-111.6859
48,"Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106530764/48,3.4,-1,Sport,5.12c,1,60,40.4461,-111.6859
"Medulla Oblongata","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/113108952/medulla-oblongata,3.4,-1,Sport,5.12c,1,,40.4461,-111.6859
"Chockdust Torture","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517485/chockdust-torture,2.4,-1,Sport,5.12c/d,1,65,40.4461,-111.6859
"An Affair to Remember","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106530747/an-affair-to-remember,3.0,-1,Sport,5.12c/d,1,75,40.4461,-111.6859
"Gun in the Mouth Blues","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106530753/gun-in-the-mouth-blues,2.7,-1,Sport,5.12d,1,70,40.4461,-111.6859
"Ivy Mike","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106530769/ivy-mike,3.1,-1,Sport,5.12d,1,50,40.4461,-111.6859
"Cortical Suppression","The Blue Walls > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106955054/cortical-suppression,3.3,-1,Sport,5.12c,1,60,40.44338,-111.69085
"Genetic Loadings","The Blue Walls > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108790538/genetic-loadings,3.3,-1,Sport,5.12c,1,50,40.44338,-111.69085
